m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.02m77	Edinburgh	organization.organization_scope,location.location,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.020vch5	Wyncote	location.location,location.hud_county_place,location.statistical_region
m.036rn3	Chambly	location.location,location.statistical_region,business.employer,location.citytown
m.03m9cp8	Waldersbach	location.location,location.statistical_region,location.citytown
m.0w073	Amstelveen	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.0l2rj	San Diego County	location.location,organization.organization_scope,location.place_with_neighborhoods,location.statistical_region,location.us_county,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01xlyy	Haslemere	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0b_yz	Reading	organization.organization_scope,location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,business.employer
m.0_q8q	Hot Springs	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.0f4sdq	St. Anne Convent	location.location
m.0zmrm	Doylestown	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.09pxc	Palermo	location.location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,people.place_of_interment,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,symbols.name_source
m.031y2	Florence	location.location,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,protected_sites.listed_site,symbols.name_source,location.citytown,award.ranked_item,sports.sports_team_location,location.capital_of_administrative_division,book.book_subject
m.03902	Geneva	location.location,fictional_universe.fictional_setting,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.0gg07y	Stamford Hospital	location.location,medicine.hospital
m.0xlg8	Springfield Township	location.location,location.statistical_region,location.citytown
m.07_pf	Venice	location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,location.administrative_division,location.capital_of_administrative_division,book.book_subject,government.governmental_jurisdiction
m.05qtj	Paris	organization.organization_scope,location.location,symbols.namesake,film.film_location,travel.travel_destination,location.citytown,location.administrative_division,government.governmental_jurisdiction,location.place_with_neighborhoods,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,film.film_subject,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject
m.054y8	Mainz	location.location,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,government.governmental_jurisdiction
m.010mmb	Halifax	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0q7dv	Geneva	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0sfwz	Chester	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0y74x	Fayette	location.location,location.statistical_region,location.citytown
m.0y27y	East Rockaway	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.0ybkj	Glens Falls	location.location,location.hud_county_place,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.0m75g	Sheffield	organization.organization_scope,location.location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.0nbfm	Marylebone	location.location,location.statistical_region,location.citytown
m.04yj4y	Mansfield Woodhouse	location.location,location.statistical_region,location.citytown
m.06y57	Sydney	location.location,organization.organization_scope,symbols.namesake,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.059rby	New York	meteorology.cyclone_affected_area,organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.03c101	Nilsiä	location.location,location.statistical_region,location.citytown
m.010pf7	Abingdon	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,business.employer,location.citytown
m.0hvlp	Hove	location.location,location.statistical_region,location.citytown
m.019fh	Buffalo	location.location,organization.organization_scope,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.023n6x	Summerside	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0177z	Brussels	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.01nl79	Flushing	location.location,location.neighborhood,location.statistical_region
m.01v_69	Bowood House	location.location,architecture.structure
m.0d060g	Canada	biology.breed_origin,location.location,organization.organization_scope,royalty.kingdom,film.film_location,organization.organization_member,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.01b8jj	Brisbane	organization.organization_scope,location.location,fictional_universe.fictional_setting,sports.sports_team_location,business.business_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,business.employer,location.citytown
m.03qnx6	Mayne Island	location.location,geography.island,location.statistical_region
m.0166dk	Luoyang	location.location,location.administrative_division,location.statistical_region,location.citytown
m.03s0l5	Thames	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.02yc5b	Christchurch	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,business.employer,location.citytown,government.governmental_jurisdiction
m.022426	Ryde	location.location,location.statistical_region,location.citytown
m.0tzls	Holyoke	location.location,location.hud_county_place,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.06_kh	Santa Monica	location.location,location.hud_county_place,film.film_location,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,business.employer,location.citytown,government.governmental_jurisdiction
m.0z6v0	Tonkawa	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.05bkf	Nuremberg	location.location,location.administrative_division,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.0h7h6	Toronto	location.location,organization.organization_scope,location.place_with_neighborhoods,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.0337k0	Lingfield	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0101_s	Whitesboro	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.01gk3x	Isfahan	location.location,location.administrative_division,sports.sports_team_location,award.ranked_item,location.statistical_region,travel.travel_destination,location.citytown
m.0b2mc	Thessaloniki	location.location,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,protected_sites.listed_site,location.citytown
m.06mddj	Addlestone	location.location,location.statistical_region,location.citytown
m.01ksrj	Truro	location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.0qlrh	Atlantic City	location.location,organization.organization_scope,location.hud_county_place,location.statistical_region,travel.travel_destination,location.citytown,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.02qjb7z	Halifax	location.location,sports.sports_team_location,location.capital_of_administrative_division,organization.organization_member,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown
m.0150n	Bonn	location.location,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.06mzp	Switzerland	biology.breed_origin,organization.organization_scope,location.location,location.country,fictional_universe.fictional_setting,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,symbols.name_source,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0853g	Wellington	location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.0blr4	Hotel Chelsea	location.location,film.film_location,architecture.structure,protected_sites.listed_site
m.063tw6	Montmagny	location.location,location.statistical_region,location.citytown
m.04sqj	Mexico City	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.03hhydw	Ischilín Department	location.location,location.administrative_division,location.statistical_region
m.013ty1	Waupun	location.location,location.statistical_region,location.citytown
m.09gq1	Totnes	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0rh6k	Washington, D.C.	location.location,organization.organization_scope,symbols.namesake,film.film_location,travel.travel_destination,location.citytown,location.administrative_division,government.governmental_jurisdiction,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.04jpl	London	location.location,organization.organization_scope,film.film_location,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,education.educational_institution_campus,government.governmental_jurisdiction,location.place_with_neighborhoods,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.03rjj	Italy	biology.breed_origin,location.location,organization.organization_scope,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.016lpx	O'Connell Street	location.location
m.0ftjx	Sofia	organization.organization_scope,location.location,location.administrative_division,film.film_location,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,location.statistical_region,location.citytown,government.governmental_jurisdiction
m.0k2fj	Saint-Germain-en-Laye	location.location,location.statistical_region,location.citytown
m.036r8q	Saint-Constant	location.location,location.statistical_region,location.citytown
m.097ll4	Ormstown	location.location,location.statistical_region,location.citytown
m.02h6_6p	Munich	location.location,organization.organization_scope,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.05gl6k	Newington Green	location.location
m.03m56wf	Castagnola	location.location,location.administrative_division,location.statistical_region
m.0k6bt	Leuven	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,book.book_subject,protected_sites.listed_site,location.citytown
m.0y5ng	Richfield	location.location,location.statistical_region,location.citytown
m.0106dv	Waco	location.location,location.hud_county_place,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.09ptd5	Flesherton	location.location,location.statistical_region,location.citytown
m.02_286	New York City	location.location,organization.organization_scope,symbols.namesake,film.film_location,government.political_district,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,award.award_winner,government.governmental_jurisdiction,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.01914	Beijing	organization.organization_scope,location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.06pr6	Saint Petersburg	organization.organization_scope,location.location,symbols.namesake,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,protected_sites.listed_site,symbols.name_source,location.citytown,location.administrative_division,business.business_location,sports.sports_team_location,award.award_winner,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.0cy07	Canterbury	location.location,location.statistical_region,travel.travel_destination,business.employer,location.citytown
m.0ccbfj	Lockeport	location.location,location.statistical_region,location.citytown
m.06drg4	St. Vincent's University Hospital	location.location,medicine.hospital,architecture.structure
m.07dfq9	Harbour Grace	location.location,location.statistical_region,location.citytown
m.0fthl	Santo Domingo	location.location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.02vk755	Lysekil	location.location,location.statistical_region,location.citytown
m.02rqplw	Thomery	location.location,location.statistical_region,location.citytown
m.05460l	Chyhyryn	location.location,location.statistical_region,location.citytown
m.0gywq3z	Punta Ballena	location.location
m.04lpkr	Dunkeld	location.location,location.statistical_region,location.citytown
m.09zm8s	Streat	location.location,location.administrative_division,location.statistical_region,location.citytown
m.04swd	Moscow	organization.organization_scope,location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,sports.sports_team_location,award.award_winner,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.01dgw0	San Pedro Sula	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.0rd73	New Canaan	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.06c62	Rome	organization.organization_scope,location.location,symbols.namesake,location.country,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,location.administrative_division,film.film_subject,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.0278zk	Esquimalt	location.location,location.statistical_region,location.citytown
m.0fydw	Antwerp	location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.0cffd	Ferrara	location.location,location.administrative_division,film.film_location,location.capital_of_administrative_division,location.statistical_region,protected_sites.listed_site,location.citytown
m.013rkq	Kyrenia	location.location,film.film_location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0nl7m	London Borough of Lambeth	location.location,location.administrative_division,location.statistical_region
m.020vqp	Bridport	location.location,location.administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.030qb3t	Los Angeles	organization.organization_scope,location.location,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,film.film_subject,sports.sports_team_location,business.business_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.0fg1g	Haifa	location.location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.03rk0	India	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,organization.organization_sector,location.country,fictional_universe.fictional_setting,location.statistical_region,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.0k3p	Amsterdam	organization.organization_scope,location.location,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,symbols.name_source,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01lfy	Copenhagen	location.location,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,symbols.name_source,location.citytown,location.administrative_division,film.film_subject,business.business_location,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer
m.0jyw	Ankara	location.location,location.administrative_division,sports.sports_team_location,film.film_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.05ksh	Ottawa	organization.organization_scope,location.location,location.place_with_neighborhoods,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,award.award_nominee,sports.sports_team_location,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.052bw	Manchester	location.location,organization.organization_scope,fictional_universe.fictional_setting,location.statistical_region,protected_sites.listed_site,travel.travel_destination,location.citytown,symbols.name_source,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01v8c	Cologne	location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.03npfdy	Saint-Alban-de-Montbel	location.location
m.048j2f	Ross	location.location,location.statistical_region,location.citytown
m.071vr	San Diego	location.location,organization.organization_scope,location.place_with_neighborhoods,organization.organization_sector,location.hud_county_place,film.film_location,location.statistical_region,travel.travel_destination,symbols.name_source,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0rtv	Algiers	location.location,location.administrative_division,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,book.book_subject,protected_sites.listed_site,location.citytown
m.0lbrb	Perth	location.location,location.statistical_region,location.citytown
m.06jctp	Barrington	location.location,location.statistical_region,location.citytown
m.05sb1	Pakistan	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.06gmr	Rio de Janeiro	location.location,organization.organization_scope,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01v4dg	Bad Ragaz	location.location,location.administrative_division,location.statistical_region,location.citytown
m.04qdj	Lausanne	location.location,location.place_with_neighborhoods,location.administrative_division,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.0284jb	North Hollywood	organization.organization_scope,location.location,location.neighborhood,location.statistical_region
m.07ypt	Victoria	location.location,symbols.namesake,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.05zs7rd	Yamaska, Quebec	location.location,location.statistical_region,location.citytown
m.0fq8f	Luxembourg	location.location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,business.employer,location.citytown
m.0rzp1	Thomaston	location.location,location.hud_county_place,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.0255md	Pictou	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.095gvh	Burgh	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0ffmp	Odessa	organization.organization_scope,location.location,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,award.award_winner,travel.travel_destination,location.citytown
